Column1;Column2;Column3;Column4;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
13:43:52;177;57827;451,77;0,617;0,566;0,816;8,3;6,44;0,185;35,7;8,8;8
13:43:53;178;60098;469,52;0,595;0,545;0,793;12,56;10,74;0,202;35,7;9;8,2
13:43:54;179;61654;481,67;0,579;0,528;0,781;17,42;18,54;0,26;35,7;9;8,1
13:43:55;180;55476;433,41;0,644;0,595;0,84;11,3;9,44;0,195;35,7;11,3;7,7
13:43:56;181;53671;419,3;0,665;0,611;0,879;15,56;14,45;0,353;35,7;9;8,2
13:43:57;182;56310;439,92;0,634;0,584;0,836;11,81;10,7;0,201;35,7;8,9;8
13:43:58;183;61443;480,02;0,582;0,533;0,775;12,66;6,63;0,195;35,7;8,6;7,8
13:43:59;184;58237;454,98;0,613;0,56;0,827;19,43;24,53;0,343;35,7;8,6;7,8
13:44:00;185;51073;399,01;0,699;0,651;0,897;15,33;6,7;0,22;35,7;8,3;7,5
13:44:01;186;58963;460,65;0,606;0,553;0,816;20,82;23,71;0,376;35,7;8,4;7,7
13:44:02;187;58295;455,43;0,613;0,566;0,81;1,71;1,96;0,166;35,7;8,5;7,5
13:44:03;188;52196;407,78;0,684;0,634;0,889;16,84;14,77;0,234;35,7;9,8;8,5
13:44:04;189;56655;442,62;0,631;0,58;0,834;15,24;14,98;0,297;35,7;8,8;7,5
13:44:05;190;53651;419,15;0,666;0,616;0,866;2,19;2,22;0,183;35,7;8;7
13:44:06;191;58965;460,66;0,606;0,555;0,81;17,41;18,57;0,26;35,7;9,3;7,6
13:44:07;192;52263;408,3;0,683;0,633;0,885;4,49;2,12;0,176;35,7;9,4;8,5
13:44:08;193;54987;429,59;0,649;0,593;0,873;21,04;20,9;0,559;35,7;8,5;7,6
13:44:09;194;54596;426,53;0,653;0,602;0,859;18,48;17,79;0,286;35,7;9,4;8
13:44:10;195;52805;412,54;0,676;0,627;0,875;8,23;8,97;0,198;35,7;8,4;7,6
13:44:11;196;58056;453,56;0,615;0,562;0,826;20;24,38;0,377;35,7;9;8,3
13:44:12;197;54618;426,7;0,654;0,603;0,854;1,87;2,99;0,176;35,7;9,1;8,1
13:44:13;198;54948;429,28;0,649;0,599;0,846;1,7;1,96;0,171;35,7;8,6;7,6
13:44:14;199;59146;462,08;0,604;0,554;0,804;18,38;20,61;0,283;35,7;8;7,3
13:44:15;200;50607;395,37;0,706;0,657;0,905;1,89;2,24;0,188;35,8;7,6;6,8
13:44:16;201;58803;459,4;0,607;0,555;0,809;18,42;16,76;0,271;35,7;8,7;8
13:44:17;202;57108;446,16;0,626;0,575;0,823;1,85;2,01;0,168;35,7;8,3;7,6
13:44:18;203;55557;434,04;0,642;0,592;0,839;1,83;2,01;0,171;35,7;8,4;7,7
13:44:19;204;54271;423,99;0,658;0,607;0,857;16,26;12,41;0,252;35,7;8,7;7,8
13:44:20;205;51619;403,27;0,691;0,642;0,886;8,11;8,6;0,22;35,7;8,7;7,3
13:44:21;206;54612;426,66;0,654;0,605;0,853;16,42;18,27;0,233;35,7;9,2;8,4
13:44:22;207;55671;434,93;0,641;0,591;0,838;3,38;2,69;0,176;35,7;9,1;8,3
13:44:23;208;60272;470,88;0,592;0,542;0,791;11,72;8,63;0,198;35,7;8,4;7,6
13:44:24;209;57843;451,9;0,618;0,566;0,822;16,48;15,75;0,261;35,7;8,5;7,4
13:44:25;210;55926;436,92;0,638;0,587;0,838;7,57;7,3;0,201;35,7;8,5;7,6
13:44:26;211;59506;464,89;0,601;0,551;0,797;1,7;2,16;0,167;35,8;8,6;7,8
13:44:27;212;57902;452,36;0,616;0,567;0,811;3,65;2,07;0,169;35,7;8,4;7,5
13:44:28;213;53584;418,63;0,666;0,616;0,861;3,34;2,28;0,175;35,7;9,2;8,4
13:44:29;214;55925;436,91;0,639;0,588;0,846;18,87;18,82;0,315;35,8;7,5;6,8
13:44:30;215;58258;455,14;0,612;0,563;0,806;7,75;7,89;0,193;35,7;8,3;7,5
13:44:31;216;59524;465,03;0,601;0,55;0,805;20,54;22,19;0,294;35,7;8,7;8
13:44:32;217;56071;438,05;0,637;0,587;0,835;2,15;2,11;0,178;35,7;9,2;8,3
13:44:33;218;52296;408,56;0,684;0,634;0,88;1,85;2,07;0,184;35,8;6,6;6
13:44:34;219;60781;474,85;0,587;0,536;0,783;22,67;21,91;0,321;35,7;8,7;7,9
13:44:35;220;58107;453,96;0,615;0,564;0,814;1,72;2,04;0,174;35,7;8,9;8,1
13:44:36;221;51901;405,48;0,688;0,637;0,888;20,45;17,71;0,268;35,7;9,1;8,3
13:44:37;222;53071;414,62;0,673;0,623;0,87;1,9;2,04;0,174;35,7;9;8,2
13:44:38;223;55041;430,01;0,649;0,599;0,844;1,89;3,11;0,173;35,7;8,1;7,4
13:44:39;224;55332;432,28;0,645;0,594;0,847;21,43;20,36;0,297;35,7;8,6;7,8
13:44:40;225;55625;434,57;0,642;0,591;0,84;5,11;2,12;0,178;35,7;10,3;8,3
13:44:41;226;57423;448,62;0,621;0,571;0,823;18,58;22,77;0,318;35,7;9,1;8,2
13:44:42;227;60451;472,27;0,591;0,541;0,787;1,71;1,9;0,168;35,7;9,2;8,3
13:44:43;228;59402;464,08;0,601;0,55;0,801;10,73;11,49;0,2;35,7;8,7;7,9
13:44:44;229;57539;449,52;0,62;0,566;0,832;17,81;17,51;0,41;35,7;8,9;8,2
13:44:45;230;59632;465,88;0,599;0,55;0,794;1,67;2,19;0,171;35,7;9;8,2
13:44:46;231;55543;433,93;0,644;0,593;0,845;17,76;20,74;0,271;35,7;9;7,9
